Data,Result,Reason
relational database,1,in sample of hard skills
"Solid oral, written, presentation, collaboration and interpersonal communication skills",1,in sample of hard skills
varied political environments,0,not detected as hard skill
a CRM company,1,in sample of hard skills
HTML,1,in sample of hard skills
Salesforce Certifications,1,in sample of hard skills
innovative analytical solutions,0,not detected as hard skill
premise & Hybrid solutions,1,in sample of hard skills
collaborative partnerships,0,not detected as hard skill
architects,0,not detected as hard skill
technical environments,1,in sample of hard skills
best practice specifications,1,in sample of hard skills
mentor team members,0,not detected as hard skill
project documentation,1,in sample of hard skills
configuration management,1,in sample of hard skills
performance tuning,1,in sample of hard skills
designing,1,in sample of hard skills
automation,1,in sample of hard skills
provisioning,1,in sample of hard skills
tolerant cloud systems,1,in sample of hard skills
cloud-based data pipeline development,1,in sample of hard skills
AWS,1,in sample of hard skills
AWS Glue,1,in sample of hard skills
EMR,1,in sample of hard skills
S3,1,in sample of hard skills
Redshift,1,unusual word
Kinesis,1,unusual word
Databricks,1,unusual word
AWS Lake FormationAzure,1,in sample of hard skills
Databricks,1,unusual word
Synapse,1,in sample of hard skills
Data FactoryGCP,1,in sample of hard skills
DataFlow,1,more than one capital letter
GCS,1,more than one capital letter
BigQuery,1,more than one capital letter
Dataproc,1,unusual word
Cloud Composer,1,in sample of hard skills
any object-oriented/object function scripting language,1,in sample of hard skills
Python,0,not detected as hard skill
Big Data Stacks,1,in sample of hard skills
Spark,1,in sample of hard skills
Spark Streaming,1,in sample of hard skills
Strong experience building data ingestion pipelines,1,in sample of hard skills
Load workload,1,in sample of hard skills
data modeling,1,in sample of hard skills
CI/CD principles,1,more than one capital letter
Snowflake,0,not detected as hard skill
problem-solving,0,not detected as hard skill
distributed computing principles,1,in sample of hard skills
innovative analytical solutions,0,not detected as hard skill
premise & Hybrid solutions,1,in sample of hard skills
collaborative partnerships,0,not detected as hard skill
architects,0,not detected as hard skill
technical environments,1,in sample of hard skills
best practice specifications,1,in sample of hard skills
mentor team members,0,not detected as hard skill
project documentation,1,in sample of hard skills
configuration management,1,in sample of hard skills
performance tuning,1,in sample of hard skills
designing,1,in sample of hard skills
automation,1,in sample of hard skills
provisioning,1,in sample of hard skills
tolerant cloud systems,1,in sample of hard skills
cloud-based data pipeline development,1,in sample of hard skills
AWS,1,in sample of hard skills
AWS Glue,1,in sample of hard skills
EMR,1,in sample of hard skills
S3,1,in sample of hard skills
Redshift,1,unusual word
Kinesis,1,unusual word
Databricks,1,unusual word
AWS Lake FormationAzure,1,in sample of hard skills
Databricks,1,unusual word
Synapse,1,in sample of hard skills
Data FactoryGCP,1,in sample of hard skills
DataFlow,1,more than one capital letter
GCS,1,more than one capital letter
BigQuery,1,more than one capital letter
Dataproc,1,unusual word
Cloud Composer,1,in sample of hard skills
any object-oriented/object function scripting language,1,in sample of hard skills
Python,0,not detected as hard skill
Big Data Stacks,1,in sample of hard skills
Spark,1,in sample of hard skills
Spark Streaming,1,in sample of hard skills
Strong experience building data ingestion pipelines,1,in sample of hard skills
Load workload,1,in sample of hard skills
data modeling,1,in sample of hard skills
CI/CD principles,1,more than one capital letter
Snowflake,0,not detected as hard skill
problem-solving,0,not detected as hard skill
distributed computing principles,1,in sample of hard skills
the status quo,0,not detected as hard skill
a more optimal solution,1,in sample of hard skills
Teamwork,0,not detected as hard skill
"a positive, collaborative environment",0,not detected as hard skill
holistic Web solutions,1,in sample of hard skills
a front-end frameworks,1,in sample of hard skills
"Angular, React, Vue) and related technologies",1,unusual word
JavaScript,1,in sample of hard skills
Typescript,1,unusual word
HTML5,1,in sample of hard skills
CSS3,1,more than one capital letter
Agile development methodologies,1,in sample of hard skills
preferably Scrum,0,not detected as hard skill
Proficiency,0,not detected as hard skill
RxJS,1,more than one capital letter
Microservices,1,unusual word
APIs,1,more than one capital letter
WebSockets,1,more than one capital letter
SCSS,1,in sample of hard skills
complex highly reliable and scalable production systems,1,unusual word
Familiarity,0,not detected as hard skill
database concepts,1,in sample of hard skills
Bachelor’s Degree,1,in sample of hard skills
related backend services,1,in sample of hard skills
APIs,1,more than one capital letter
Node,0,not detected as hard skill
JS - features,1,in sample of hard skills
Smartwatch,1,unusual word
other connected smart/IoT devices,1,in sample of hard skills
the ThingSpace IoT platform,1,more than one capital letter
APIs,1,more than one capital letter
BS degree,1,more than one capital letter
other advanced certification,1,in sample of hard skills
Node.jsExperience,1,unusual word
node.js framworks,1,unusual word
interfacesConcurrency,1,unusual word
multithreadingOne or more databases,1,unusual word
Mongo DB,1,unusual word
PostgreSQL,1,more than one capital letter
Oracle,1,in sample of hard skills
MS SQL ServerSDLC,1,in sample of hard skills
testingClean,1,unusual word
Typescript,1,unusual word
Kafka,1,unusual word
JMS,1,more than one capital letter
MQ technologies,1,more than one capital letter
AWS Lambda,1,in sample of hard skills
scalable and flexible B2C & B2B digital commerce architectures,1,unusual word
constraints,0,not detected as hard skill
the eCommerce offshore team,1,in sample of hard skills
system/business analysts,1,in sample of hard skills
onshore architects,1,unusual word
the product lifecycle,1,in sample of hard skills
technical expertise,1,in sample of hard skills
the Software Development Lifecycle,1,in sample of hard skills
Agile/Scrum,1,in sample of hard skills
Good modeling,1,in sample of hard skills
Fluent English,0,not detected as hard skill
platformEndeca,1,unusual word
SOLR,1,more than one capital letter
Adobe AEM,1,in sample of hard skills
Hybris,1,in sample of hard skills
custom business objectsIntegration,1,in sample of hard skills
external Payment Processors,0,not detected as hard skill
hosted payment pages,0,not detected as hard skill
direct API integration,1,in sample of hard skills
tokenizationExtension,1,unusual word
-,0,not detected as hard skill
promotions,0,not detected as hard skill
customer serviceExperience,1,in sample of hard skills
the following Hybris modules,1,in sample of hard skills
Product Cockpit,1,in sample of hard skills
WCMS,1,more than one capital letter
EhCache,1,more than one capital letter
Oracle CoherenceVarious,1,in sample of hard skills
integrations,1,in sample of hard skills
CDN,1,in sample of hard skills
Google Analytics,1,in sample of hard skills
Bazaarvoice,1,unusual word
etcJIRA,1,more than one capital letter
Git,0,not detected as hard skill
Confluence,0,not detected as hard skill
Hybris Web Commerce platforms,1,in sample of hard skills
Excellent problem- solving skills,0,not detected as hard skill
Fast learner,1,in sample of hard skills
innovative analytical solution,1,in sample of hard skills
"Hadoop, NoSQL",1,in sample of hard skills
premise/ Hybrid solutions,1,in sample of hard skills
collaborative partnerships,0,not detected as hard skill
architects,0,not detected as hard skill
technical environments,1,in sample of hard skills
best practice specifications,1,in sample of hard skills
mentor team members,0,not detected as hard skill
project documentation,1,in sample of hard skills
configuration management,1,in sample of hard skills
debugging,1,unusual word
tuning,1,in sample of hard skills
Data Visualization,1,in sample of hard skills
Strong experience building data ingestion pipelines,1,in sample of hard skills
Load workload,1,in sample of hard skills
data modeling,1,in sample of hard skills
designing,1,in sample of hard skills
automation,1,in sample of hard skills
provisioning,1,in sample of hard skills
tolerant systems,1,in sample of hard skills
CI/CD principles,1,more than one capital letter
problem-solving,0,not detected as hard skill
Data-oriented personality,1,in sample of hard skills
compliance awareness,1,in sample of hard skills
PI,1,in sample of hard skills
GDPR,1,more than one capital letter
HIPAA,1,more than one capital letter
a fast-paced (startup like) agile development environment,1,in sample of hard skills
IoT Data Platform architectures,1,in sample of hard skills
infrastructures,1,unusual word
Containers and Resource Management systems,1,in sample of hard skills
Docker,1,unusual word
Kubernetes,1,in sample of hard skills
Yarn,0,not detected as hard skill
infrastructure troubleshooting,1,in sample of hard skills
performance tuning,1,in sample of hard skills
optimization,1,in sample of hard skills
bottleneck problem analysis,1,unusual word
different business domains,1,in sample of hard skills
English proficiency,0,not detected as hard skill
distributed computing principles,1,in sample of hard skills
Java/ Scala,1,in sample of hard skills
Python,0,not detected as hard skill
SQL,1,in sample of hard skills
BashBig Data stack,1,more than one capital letter
HDFS,1,more than one capital letter
MapReduce,1,in sample of hard skills
Hive,0,not detected as hard skill
Spark,1,in sample of hard skills
Kafka,1,unusual word
Flume,1,in sample of hard skills
Sqoop,1,unusual word
ZookeperNoSQL,1,more than one capital letter
Cassandra/ Hbase,1,unusual word
Kafka Streams,1,unusual word
Flink,1,unusual word
Spark Streaming,1,in sample of hard skills
IOT Hub,1,more than one capital letter
MQTT,1,more than one capital letter
Storage Queues,1,in sample of hard skills
Stream AnalyticsData Visualization,1,more than one capital letter
Tableau,1,unusual word
QlikViewETL,1,more than one capital letter
Streaming Pipelines,0,not detected as hard skill
Pentaho,1,unusual word
Talend,1,unusual word
Apache Oozie,1,in sample of hard skills
Airflow,0,not detected as hard skill
NiFi,1,more than one capital letter
StreamsetsOperation,1,more than one capital letter
Cluster operation,1,in sample of hard skills
Cluster planningSearch,1,in sample of hard skills
Solr,1,unusual word
Elasticsearch/ELKInMemory,1,unusual word
Ignite,0,not detected as hard skill
RedisSolid Cloud experience,1,more than one capital letter
2 or more leading cloud providers,1,in sample of hard skills
(AWS/Azure/GCP,1,in sample of hard skills
Compute,0,not detected as hard skill
Networking,1,in sample of hard skills
NoSQL,1,in sample of hard skills
RDBMS,1,more than one capital letter
Cubes,0,not detected as hard skill
Queues,0,not detected as hard skill
Serverless,1,unusual word
Visualization,1,in sample of hard skills
ML,1,more than one capital letter
SageMaker,1,more than one capital letter
Tensorflow)Enterprise Design Patterns,1,unusual word
ORM,1,more than one capital letter
Inversion,0,not detected as hard skill
Component/ Integration Testing,1,in sample of hard skills
SQL queries,1,in sample of hard skills
stored procedures,0,not detected as hard skill
relational schemas,1,unusual word
SQL optimizationExperience,1,in sample of hard skills
various messaging systems,1,in sample of hard skills
Kafka,1,unusual word
ZeroMQ/ RabbitMQRest,1,more than one capital letter
Thrift,0,not detected as hard skill
GRPC,1,more than one capital letter
SOAPBuild Systems,1,more than one capital letter
Maven,1,unusual word
SBT,1,more than one capital letter
Ant,0,not detected as hard skill
GradleDocker,1,more than one capital letter
Kubernetes,1,in sample of hard skills
Yarn,0,not detected as hard skill
Mesos,1,unusual word
the entire software development lifecycle,1,in sample of hard skills
sustainable and efficient solutions,0,not detected as hard skill
SDLC,1,more than one capital letter
full-stack solutions,0,not detected as hard skill
the backend,1,in sample of hard skills
frontend,1,unusual word
deployment,1,in sample of hard skills
preferably Angular,0,not detected as hard skill
JavaScript,1,in sample of hard skills
Typescript,1,unusual word
HTML5,1,in sample of hard skills
CSS3,1,more than one capital letter
Agile development methodologies,1,in sample of hard skills
preferably Scrum,0,not detected as hard skill
preferably a Bachelor's Degree,1,in sample of hard skills
Proficiency and enterprise work experience,1,in sample of hard skills
Angular (Angular 2+,0,not detected as hard skill
preferably Angular 8),0,not detected as hard skill
Proficiency,0,not detected as hard skill
Node.js,0,not detected as hard skill
RxJS,1,more than one capital letter
TypeScript,1,more than one capital letter
microservices,1,unusual word
APIs,1,more than one capital letter
websockets,1,unusual word
scss,1,unusual word
Proficiency,0,not detected as hard skill
Selenium,1,unusual word
Protractor,1,unusual word
troubleshooting,1,unusual word
a fast-paced environment,1,in sample of hard skills
continuous delivery techniques,1,in sample of hard skills
stakeholders,1,not in english dictionary
collaborative partnerships,0,not detected as hard skill
Data Architects,1,in sample of hard skills
Data Technology Consultants,1,in sample of hard skills
prem,0,not detected as hard skill
structured and unstructured data,1,unusual word
both batch & streaming methods,0,not detected as hard skill
-,0,not detected as hard skill
designing infrastructure,1,in sample of hard skills
greater scalability,1,unusual word
optimal extraction,0,not detected as hard skill
premise and cloud architectures,1,in sample of hard skills
stakeholders,1,not in english dictionary
the business analytics teams,1,in sample of hard skills
Azure,1,in sample of hard skills
AWS,1,in sample of hard skills
Databricks,1,unusual word
cloud-based data pipeline development,1,in sample of hard skills
an object-oriented/object function scripting language,1,in sample of hard skills
Python,0,not detected as hard skill
data pipelines,1,in sample of hard skills
metadata capture,1,not in english dictionary
data cataloging,1,in sample of hard skills
message queuing,0,not detected as hard skill
Any object-oriented/object function scripting language,1,in sample of hard skills
Python,0,not detected as hard skill
Node.js,0,not detected as hard skill
Azure: Storage,1,in sample of hard skills
Compute,0,not detected as hard skill
Networking,1,in sample of hard skills
Queues,0,not detected as hard skill
Serverless,1,unusual word
Visualization,1,in sample of hard skills
ML,1,more than one capital letter
Spark Streaming,1,in sample of hard skills
an active participant,0,not detected as hard skill
the software development lifecycle,1,in sample of hard skills
SDLC,1,more than one capital letter
system configuration,1,in sample of hard skills
test documentation,1,in sample of hard skills
ongoing issue identification,0,not detected as hard skill
self-sustaining code,1,in sample of hard skills
trainings,1,unusual word
certifications,0,not detected as hard skill
BS degree,1,more than one capital letter
other advanced certification,1,in sample of hard skills
flux,0,not detected as hard skill
ReduxAngularJSRxJSVirtual,1,more than one capital letter
Real DOMsMVC,1,in sample of hard skills
web designRESTful APICI,1,in sample of hard skills
the SDLCUnit testing,1,more than one capital letter
a fast-paced environment,1,in sample of hard skills
an agile development model,1,in sample of hard skills
Design & Develop web backend solutions,1,in sample of hard skills
CI/CD,1,more than one capital letter
documentation,1,in sample of hard skills
actionable form,1,unusual word
strong implementation aptitude,1,in sample of hard skills
a scalable solution,1,unusual word
deadlines,0,not detected as hard skill
a timely manner,0,not detected as hard skill
Strong database fundamentals,1,in sample of hard skills
SQL,1,in sample of hard skills
schema design,1,in sample of hard skills
various offerings,0,not detected as hard skill
AWS,1,in sample of hard skills
S3,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
Aurora,0,not detected as hard skill
Git,0,not detected as hard skill
Familiarity,0,not detected as hard skill
Jenkins,1,not in english dictionary
.,0,not detected as hard skill
data quality metrics/monitoring,1,in sample of hard skills
microservice based design,1,unusual word
web backend services,1,in sample of hard skills
Excellent interpersonal and communication skills,1,in sample of hard skills
presentations,0,not detected as hard skill
the appropriate escalation,0,not detected as hard skill
GraphQL,1,more than one capital letter
Python,0,not detected as hard skill
Kafka,1,unusual word
SDLC,1,more than one capital letter
BS degree,1,more than one capital letter
other advanced certification,1,in sample of hard skills
flux,0,not detected as hard skill
ReduxKnowledge,1,more than one capital letter
the Virtual DOMUnderstanding,1,in sample of hard skills
MVC,1,in sample of hard skills
MVVM,1,more than one capital letter
"MVP patternsCore JavaScriptCSS, HTML",1,more than one capital letter
Adaptive,0,not detected as hard skill
web designConsuming,1,in sample of hard skills
testingClean,1,unusual word
an agile development methodology,1,in sample of hard skills
troubleshooting,1,unusual word
a fast-paced environment,1,in sample of hard skills
continuous delivery techniques,1,in sample of hard skills
stakeholders,1,not in english dictionary
"accessible, semantic markup",1,in sample of hard skills
responsive web pages,1,in sample of hard skills
UX designers,1,in sample of hard skills
data analysts,1,in sample of hard skills
scrum masters,0,not detected as hard skill
reusable code,1,in sample of hard skills
client-side and server-side architecture,1,in sample of hard skills
BS degree,1,more than one capital letter
other advanced certification,1,in sample of hard skills
JavaScript,1,in sample of hard skills
HTML5,1,in sample of hard skills
CSS3,1,more than one capital letter
Typescript,1,unusual word
Angular,0,not detected as hard skill
a SCRUM team,1,more than one capital letter
backend technologies,1,in sample of hard skills
Node,0,not detected as hard skill
"JS, Java",1,in sample of hard skills
Design & Develop web backend solutions,1,in sample of hard skills
CI/CD,1,more than one capital letter
documentation,1,in sample of hard skills
actionable form,1,unusual word
strong implementation aptitude,1,in sample of hard skills
a scalable solution,1,unusual word
deadlines,0,not detected as hard skill
a timely manner,0,not detected as hard skill
BS degree,1,more than one capital letter
other advanced certification,1,in sample of hard skills
Strong database fundamentals,1,in sample of hard skills
SQL,1,in sample of hard skills
schema design,1,in sample of hard skills
various offerings,0,not detected as hard skill
AWS,1,in sample of hard skills
S3,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
Aurora,0,not detected as hard skill
Git,0,not detected as hard skill
Familiarity,0,not detected as hard skill
Jenkins,1,not in english dictionary
.,0,not detected as hard skill
data quality metrics/monitoring,1,in sample of hard skills
microservice based design,1,unusual word
web backend services,1,in sample of hard skills
Excellent interpersonal and communication skills,1,in sample of hard skills
presentations,0,not detected as hard skill
the appropriate escalation,0,not detected as hard skill
GraphQL,1,more than one capital letter
Python,0,not detected as hard skill
Kafka,1,unusual word
an active participant,0,not detected as hard skill
the software development lifecycle,1,in sample of hard skills
SDLC,1,more than one capital letter
system configuration,1,in sample of hard skills
test documentation,1,in sample of hard skills
ongoing issue identification,0,not detected as hard skill
self-sustaining code,1,in sample of hard skills
trainings,1,unusual word
certifications,0,not detected as hard skill
BS degree,1,more than one capital letter
other advanced certification,1,in sample of hard skills
Core JavaCreational,1,in sample of hard skills
Web DesignRESTful,1,in sample of hard skills
APICI,1,more than one capital letter
the SDLCUnit TestingDatabases,1,more than one capital letter
Oracle,1,in sample of hard skills
Mongo DB,1,unusual word
MS SQL Server,1,in sample of hard skills
a fast-paced environment,1,in sample of hard skills
an agile development model,1,in sample of hard skills
Jenkins,1,not in english dictionary
Git,0,not detected as hard skill
Automation Framework,1,in sample of hard skills
automation,1,in sample of hard skills
"functional, integration and acceptance test cases",1,in sample of hard skills
regression testing,1,in sample of hard skills
automation tasks,1,in sample of hard skills
test cycles,1,in sample of hard skills
DevOps pipeline,1,in sample of hard skills
troubleshooting,1,unusual word
REST APIs,1,more than one capital letter
Defects documentation,1,in sample of hard skills
Quality Assurance,1,in sample of hard skills
test automation development,1,in sample of hard skills
REST & SOAP API testing,1,more than one capital letter
preferable tool,1,in sample of hard skills
SOAPUI,1,more than one capital letter
Groovy Scripting,0,not detected as hard skill
automation scripts,1,in sample of hard skills
acceptance criteria,0,not detected as hard skill
agile methodology,1,in sample of hard skills
Strong analytical skills,0,not detected as hard skill
"Excellent organizational, troubleshooting and analytical skills",1,in sample of hard skills
"functional, integration",1,in sample of hard skills
regression testing,1,in sample of hard skills
robustness,1,unusual word
usability,0,not detected as hard skill
general reliability,1,in sample of hard skills
CI/CD pipeline,1,more than one capital letter
estimation,0,not detected as hard skill
Scope and estimate project tasks,1,in sample of hard skills
minimal supervision,0,not detected as hard skill
fast and scalable Python code,1,in sample of hard skills
BS degree,1,more than one capital letter
other advanced certification,1,in sample of hard skills
web frameworks,1,in sample of hard skills
Flask/Django,1,not in english dictionary
Strong SQL knowledge,1,in sample of hard skills
AWS\,1,in sample of hard skills
Azure,1,in sample of hard skills
An acquaintance,0,not detected as hard skill
databases,0,not detected as hard skill
Strong Linux knowledge,1,in sample of hard skills
GPFS,1,more than one capital letter
Configuration management,1,in sample of hard skills
(GIT/Stash,1,in sample of hard skills
Ansible,1,unusual word
Ganglia,1,unusual word
Grafana,1,unusual word
ELK,1,more than one capital letter
Containers,0,not detected as hard skill
Docker,1,unusual word
NFS/SAMBA/GPFS/Lustre,1,more than one capital letter
Provisioning,1,in sample of hard skills
Foreman,0,not detected as hard skill
Jenkins,1,not in english dictionary
RedHat Satellite,1,more than one capital letter
Strong Troubleshooting,1,unusual word
backend reactive programming languages,1,in sample of hard skills
Kotlin,1,in sample of hard skills
lightweight reactive microservices,1,unusual word
Vert.x,1,unusual word
Quarkus,1,unusual word
Micronaut,1,unusual word
messaging,1,in sample of hard skills
Kafka,1,unusual word
webhooks,1,unusual word
asynchronous API design,1,unusual word
PostgreSQL,1,more than one capital letter
relational databases,0,not detected as hard skill
an individual contributor,0,not detected as hard skill
a cross functional agile team,1,in sample of hard skills
FinTech,1,more than one capital letter
service continuity,1,in sample of hard skills
coding standard and other software development best practices,1,in sample of hard skills
frameworks,1,in sample of hard skills
stakeholders,1,not in english dictionary
Enablement,1,unusual word
proactive communication,1,in sample of hard skills
critical dependencies,0,not detected as hard skill
Bachelor's Degree,1,in sample of hard skills
Master's degree,1,in sample of hard skills
APIs,1,more than one capital letter
J2EE,1,more than one capital letter
Spring Batch,0,not detected as hard skill
Kubernetes,1,in sample of hard skills
Jenkins,1,not in english dictionary
SQLNice,1,more than one capital letter
JMS/MQ,1,more than one capital letter
JPA,1,more than one capital letter
Splunk/Dynatrace,1,unusual word
JavaScript,1,in sample of hard skills
the status quo,0,not detected as hard skill
a more optimal solution,1,in sample of hard skills
Teamwork,0,not detected as hard skill
"a positive, collaborative environment",0,not detected as hard skill
BS degree,1,more than one capital letter
other advanced certification,1,in sample of hard skills
JavaScript,1,in sample of hard skills
Typescript,1,unusual word
HTML5,1,in sample of hard skills
CSS3Experience,1,more than one capital letter
Agile development methodologies,1,in sample of hard skills
preferably ScrumProficiency,1,more than one capital letter
RxJS,1,more than one capital letter
Microservices,1,unusual word
APIs,1,more than one capital letter
WebSockets,1,more than one capital letter
SCSS,1,in sample of hard skills
local storageGood experience,1,unusual word
optimizing,0,not detected as hard skill
complex highly reliable and scalable production systemsFamiliarity,1,unusual word
database conceptsBachelor’s Degree,1,in sample of hard skills
Mainframe/Backend Systems - Knowledge,1,in sample of hard skills
UFT,1,more than one capital letter
REST APIs,1,more than one capital letter
Selenium,1,unusual word
SmartBear,1,more than one capital letter
automation tools,1,in sample of hard skills
"functional, integration and acceptance test cases",1,in sample of hard skills
regression testing,1,in sample of hard skills
automation tasks,1,in sample of hard skills
test cycles,1,in sample of hard skills
DevOps pipeline,1,in sample of hard skills
troubleshooting,1,unusual word
Defects documentation,1,in sample of hard skills
Reporting - Jira,1,in sample of hard skills
Mainframe Automation,1,in sample of hard skills
UFT,1,more than one capital letter
Bachelor's Degree,1,in sample of hard skills
Master's degree,1,in sample of hard skills
Quality Assurance,1,in sample of hard skills
test automation development,1,in sample of hard skills
UI Automation,1,in sample of hard skills
Selenium,1,unusual word
Serenity,0,not detected as hard skill
Maven,1,unusual word
automation scripts,1,in sample of hard skills
acceptance criteria,0,not detected as hard skill
agile methodology,1,in sample of hard skills
"functional, integration",1,in sample of hard skills
regression testing,1,in sample of hard skills
CI/CD pipeline,1,more than one capital letter
Excellent communication and documentation skillsEnglish,1,in sample of hard skills
B2,1,in sample of hard skills
higherClient,1,unusual word
predefined technical specifications,1,unusual word
smart contract security audit team,1,in sample of hard skills
public/private testnet,1,in sample of hard skills
Angular web framework,1,in sample of hard skills
web3 frameworks,1,in sample of hard skills
Smart Contract security audits,1,in sample of hard skills
NFT related protocols,1,more than one capital letter
ERC-721,1,more than one capital letter
ERC1155,1,more than one capital letter
Solidity contracts,1,in sample of hard skills
L2 networks,1,in sample of hard skills
Polygon,0,not detected as hard skill
Slither,1,unusual word
Echidna,1,unusual word
Mythril,1,unusual word
SDLC,1,more than one capital letter
BS degree,1,more than one capital letter
other advanced certification,1,in sample of hard skills
flux,0,not detected as hard skill
ReduxKnowledge,1,more than one capital letter
the Virtual DOMUnderstanding,1,in sample of hard skills
MVC,1,in sample of hard skills
MVVM,1,more than one capital letter
"MVP patternsCore JavaScriptCSS, HTML",1,more than one capital letter
Adaptive,0,not detected as hard skill
web designConsuming,1,in sample of hard skills
testingClean,1,unusual word
an agile development methodology,1,in sample of hard skills
troubleshooting,1,unusual word
a fast-paced environment,1,in sample of hard skills
continuous delivery techniques,1,in sample of hard skills
stakeholders,1,not in english dictionary
talented software engineers,1,in sample of hard skills
the HW team,1,more than one capital letter
your SW peers,1,more than one capital letter
new runtime development,1,in sample of hard skills
diagnostic tools,1,in sample of hard skills
HW bring-up,1,more than one capital letter
runtime diagnostics,0,not detected as hard skill
production-quality SW development practices,1,in sample of hard skills
embedded driver development,1,in sample of hard skills
Python,0,not detected as hard skill
chipset architectures,1,unusual word
ARM Cortex M4/A7,1,more than one capital letter
various OS environments,1,in sample of hard skills
LINUX,1,in sample of hard skills
RTOS,1,more than one capital letter
various embedded communication protocols,1,in sample of hard skills
PCIe,1,more than one capital letter
IIC,1,more than one capital letter
SPI,1,more than one capital letter
Strong interpersonal skills,0,not detected as hard skill
your sleeves,0,not detected as hard skill
FPGA development,1,more than one capital letter
Familiarity,0,not detected as hard skill
ASIC development flow,1,more than one capital letter
objective oriented programming (OOP) design principles,1,in sample of hard skills
verification,1,in sample of hard skills
verilog,1,unusual word
RTL,1,more than one capital letter
SIMD processors,1,more than one capital letter
accelerators,1,unusual word
GPUs,1,more than one capital letter
FPGAs,1,more than one capital letter
Familiarity,0,not detected as hard skill
a Deep Learning frameworks,1,in sample of hard skills
e.g. Pytorch,1,in sample of hard skills
Tensorflow,1,unusual word
your full-stack development skills,1,in sample of hard skills
the world's most advanced and life-changing biotech medicines,1,in sample of hard skills
creative and ground-breaking software frameworks,1,in sample of hard skills
Amgen,1,unusual word
DevOps frameworks,1,in sample of hard skills
continuous deployment pipelines,1,in sample of hard skills
new drug therapies,1,in sample of hard skills
grievous illnesses,0,not detected as hard skill
"high-quality, scalable, and robust software products",1,in sample of hard skills
stakeholders,1,not in english dictionary
Informatics solutions,0,not detected as hard skill
groundbreaking technologies,1,not in english dictionary
vendors,1,in sample of hard skills
informatics solutions,0,not detected as hard skill
Amgen,1,unusual word
Master's degree,1,in sample of hard skills
Bachelor’s degree,1,in sample of hard skills
High School / GED,1,more than one capital letter
proficiency,0,not detected as hard skill
Python,0,not detected as hard skill
Familiarity,0,not detected as hard skill
JavaScript frameworks,1,in sample of hard skills
bioinformatics,1,unusual word
cheminformatics,1,unusual word
laboratory automation,1,in sample of hard skills
High learning agility,1,in sample of hard skills
analytical skills,0,not detected as hard skill
solution documentation,1,in sample of hard skills
detailed resource and completion estimates,1,in sample of hard skills
modern coding methodologies,0,not detected as hard skill
complex multi-functional projects,1,in sample of hard skills
mentorship,1,unusual word
the utilization,0,not detected as hard skill
our district technology toolsets,1,in sample of hard skills
specifications,0,not detected as hard skill
scripts,0,not detected as hard skill
documentation,1,in sample of hard skills
emerging trends,0,not detected as hard skill
advanced troubleshooting techniques,1,in sample of hard skills
Liaise,1,unusual word
stakeholders,1,not in english dictionary
vendors,1,in sample of hard skills
a relevant computer systems/technology application development discipline,1,in sample of hard skills
multiple formats,1,in sample of hard skills
Office 365 Power Platform environment tools,1,in sample of hard skills
data gateways,1,in sample of hard skills
scripts,0,not detected as hard skill
queries,0,not detected as hard skill
PowerShell,1,more than one capital letter
SQL reporting,1,in sample of hard skills
presentations,0,not detected as hard skill
Hands-on 1hour series,0,not detected as hard skill
the change’s impacts,1,in sample of hard skills
validations,1,unusual word
supplier/component changes,1,in sample of hard skills
customer-initiated changes,1,in sample of hard skills
continuous improvements,0,not detected as hard skill
minimized quality risk,1,in sample of hard skills
PPAP documentation,1,more than one capital letter
a timely and quality manner,1,in sample of hard skills
APQP,1,more than one capital letter
FMEA,1,more than one capital letter
associated Veoneer programs,1,unusual word
prototype builds,0,not detected as hard skill
prototype shipments,0,not detected as hard skill
prototype shipments,0,not detected as hard skill
NCE-Prototype,1,more than one capital letter
prototype shipment,0,not detected as hard skill
the root cause investigations,0,not detected as hard skill
the containments,1,unusual word
corrective/preventive actions,0,not detected as hard skill
8D methodology,1,in sample of hard skills
coordination,1,in sample of hard skills
Lead PFMEA,1,in sample of hard skills
corrective actions,0,not detected as hard skill
Zero Defect program,1,in sample of hard skills
continuous improvement activities,0,not detected as hard skill
scrap,0,not detected as hard skill
Electrical or Mechanical Engineering Degree,1,in sample of hard skills
8D,1,in sample of hard skills
PFMEA,1,more than one capital letter
Thorough understanding,0,not detected as hard skill
automation,1,in sample of hard skills
interpersonal skills,0,not detected as hard skill
Strong analytical and communication skills,1,in sample of hard skills
TD,1,more than one capital letter
business segment CIO technology areas,1,in sample of hard skills
a heightened focus,1,in sample of hard skills
troubleshooting incident,1,unusual word
deployment,1,in sample of hard skills
prioritization,1,unusual word
escalation,0,not detected as hard skill
operational availability levels,1,in sample of hard skills
packaging,0,not detected as hard skill
a timely manner,0,not detected as hard skill
planning implementations,1,in sample of hard skills
parallel work streams,0,not detected as hard skill
stakeholders,1,not in english dictionary
availability targets,0,not detected as hard skill
prompt,0,not detected as hard skill
controlled and timely incident resolution,1,in sample of hard skills
effective and defect-free support,0,not detected as hard skill
accurate documentation,1,in sample of hard skills
"e.g. functional, security, integration, performance, quality, operations",1,in sample of hard skills
-,0,not detected as hard skill
solution designers,1,in sample of hard skills
communicator,1,unusual word
tracker,0,not detected as hard skill
escalator,0,not detected as hard skill
